FK_Sale,TransactionDate,FK_Customer,FK_Product,FK_Store,Quantity,UnitPrice,TotalAmount,FK_Status,FK_Employee
274,2020-01-24,18,10,10,3,37.99,113.97,4,30
275,2020-01-30,25,18,10,1,14.92,14.92,4,29
276,2020-01-29,7,1,10,1,819.15,819.15,4,29
277,2020-01-02,2,5,10,2,19.8,39.6,4,30
278,2020-01-05,10,10,10,3,57.99,173.97,4,29
279,2020-01-22,8,17,10,4,54.49,217.96,4,30
280,2020-01-09,19,2,10,4,99.08,396.32,4,31
281,2020-01-12,22,19,10,3,21.97,65.91,4,30
282,2020-01-13,18,4,10,1,144.07,144.07,4,30
283,2020-01-15,18,19,10,5,26.99,134.95,4,30
284,2020-01-07,3,6,10,4,11.4,45.6,4,30
285,2020-01-09,20,7,10,1,57.01,57.01,4,31
286,2020-01-22,16,11,11,4,365.54,1462.16,1,32
287,2020-01-31,24,16,11,4,19.13,76.52,4,33
288,2020-01-08,25,11,11,2,434.99,869.98,4,33
289,2020-01-17,15,18,11,3,15.67,47.01,4,32
290,2020-01-07,14,7,11,2,72.99,145.98,4,32
291,2020-01-30,24,13,11,1,53.99,53.99,4,33
292,2020-01-08,21,10,11,1,61.86,61.86,4,33
293,2020-01-16,24,9,11,1,162.64,162.64,4,33
294,2020-01-18,2,20,11,3,16.08,48.24,1,32
295,2020-01-14,21,3,11,1,73.99,73.99,4,32
296,2020-01-02,22,13,11,2,40.26,80.52,4,33
297,2020-01-01,9,10,11,1,61.53,61.53,4,33
298,2020-01-30,30,4,11,2,147.19,294.38,4,32
299,2020-01-12,13,5,11,1,17.12,17.12,4,32
300,2020-01-08,27,6,11,2,31.31,62.62,2,32
301,2020-01-13,2,11,11,3,277.94,833.82,4,32
302,2020-01-11,28,12,11,4,857.99,3431.96,4,32
303,2020-01-23,16,18,11,1,7.89,7.89,4,33
304,2020-01-19,6,15,11,1,40.99,40.99,4,33
305,2020-01-27,3,8,11,1,40.39,40.39,4,33
306,2020-01-29,13,10,12,3,55.99,167.97,4,34
307,2020-01-12,14,2,12,3,76.25,228.75,4,34
308,2020-01-13,11,20,12,2,35.94,71.88,4,34
309,2020-01-18,14,19,12,3,29.99,89.97,4,34
310,2020-01-26,3,5,12,1,16.6,16.6,4,34
311,2020-01-13,4,6,12,1,16.99,16.99,4,34
312,2020-01-05,14,3,12,2,109.99,219.98,3,35
313,2020-01-03,26,13,12,4,39.99,159.96,4,35
314,2020-01-24,29,19,12,2,17.99,35.98,4,34
315,2020-01-10,5,5,12,1,13.99,13.99,4,34
316,2020-01-12,8,5,12,2,11.99,23.98,4,35
317,2020-01-31,27,8,12,3,45.99,137.97,4,35
318,2020-01-28,20,15,12,1,65.19,65.19,4,34
319,2020-01-06,11,20,12,3,31.72,95.16,4,35
320,2020-01-11,27,7,12,1,150.99,150.99,4,35
321,2020-01-06,18,15,12,5,56.7,283.5,4,34
322,2020-01-10,3,18,12,3,7.99,23.97,4,35
323,2020-01-05,26,16,13,1,23.85,23.85,4,37
324,2020-01-17,28,19,13,2,14.92,29.84,4,38
325,2020-01-26,21,10,13,1,38.93,38.93,4,36
326,2020-01-20,21,2,13,2,125.99,251.98,4,38
327,2020-01-04,9,1,13,2,1110.28,2220.56,4,36
328,2020-01-15,15,7,13,2,103.99,207.98,1,38
329,2020-01-10,3,8,13,3,70.99,212.97,4,36
330,2020-01-26,16,5,13,2,17.76,35.52,4,37
331,2020-01-10,23,2,13,1,75.99,75.99,4,36
332,2020-01-30,8,20,13,1,18.48,18.48,4,38
333,2020-01-08,21,17,13,1,41.99,41.99,4,36
334,2020-01-29,19,5,13,2,22.99,45.98,4,37
335,2020-01-26,19,17,13,3,37.99,113.97,4,36
336,2020-01-04,28,5,13,2,21.78,43.56,4,37
337,2020-01-19,12,3,13,2,140.37,280.74,4,37
338,2020-01-20,22,13,13,1,57.99,57.99,4,36
339,2020-01-05,14,10,13,1,43.99,43.99,4,38
340,2020-01-23,30,19,13,2,25.99,51.98,4,36
341,2020-01-15,28,14,13,5,170.99,854.95,4,37
342,2020-01-18,16,10,13,3,45.63,136.89,4,37
343,2020-01-03,26,12,13,1,536.43,536.43,4,36
344,2020-01-15,25,12,13,2,454.99,909.98,4,37
345,2020-01-27,18,20,13,3,25.99,77.97,4,36
346,2020-01-24,25,18,13,1,18.99,18.99,4,36
347,2020-01-27,28,3,13,3,82.69,248.07,4,36
348,2020-01-12,20,18,13,2,14.39,28.78,4,38
349,2020-01-26,12,2,13,1,91.99,91.99,4,38
350,2020-01-10,28,12,13,5,737.99,3689.95,4,38
351,2020-01-26,2,8,13,4,33.12,132.48,4,37
352,2020-01-23,8,6,14,2,23.99,47.98,4,40
353,2020-01-15,26,2,14,2,108.98,217.96,4,39
354,2020-01-15,11,20,14,4,36.99,147.96,4,39
355,2020-01-21,12,15,14,3,52.86,158.58,4,39
356,2020-01-16,27,5,14,1,20.56,20.56,4,40
357,2020-01-11,25,19,14,1,29.65,29.65,1,39
358,2020-01-15,14,9,14,5,187.22,936.1,4,39
359,2020-01-28,9,19,14,2,19.99,39.98,4,39
360,2020-01-06,21,2,14,3,109.42,328.26,1,40
361,2020-01-01,3,5,14,2,19.39,38.78,2,39
362,2020-01-27,28,3,14,3,105.99,317.97,1,40
363,2020-01-04,29,6,14,1,29.11,29.11,4,40
364,2020-01-22,17,3,14,2,74.99,149.98,4,39
365,2020-01-24,14,4,14,4,115.99,463.96,4,40
366,2020-01-19,12,16,14,1,9.99,9.99,3,40
367,2020-01-20,20,13,15,3,94.24,282.72,4,42
368,2020-01-10,20,5,15,3,13.99,41.97,4,41
369,2020-01-31,13,5,15,1,20.99,20.99,4,41
370,2020-01-01,30,20,15,1,38.1,38.1,4,42
371,2020-01-22,16,4,15,1,111.99,111.99,1,41
372,2020-01-31,17,17,15,2,37.04,74.08,4,42
373,2020-01-03,18,14,15,1,145.49,145.49,4,41
374,2020-01-26,11,4,15,2,251.64,503.28,4,42
375,2020-01-10,24,16,15,1,9.38,9.38,4,41
376,2020-01-20,22,2,15,1,105.63,105.63,4,41
377,2020-01-31,17,7,15,1,62.96,62.96,4,42
378,2020-01-29,29,3,15,1,101.93,101.93,4,41
379,2020-01-19,16,14,15,2,107.32,214.64,4,42
380,2020-01-06,4,5,15,1,18.99,18.99,4,41
381,2020-02-08,12,2,1,4,63.32,253.28,3,4
382,2020-02-24,8,15,1,1,82.99,82.99,4,3
383,2020-02-19,17,7,1,1,137.48,137.48,4,1
384,2020-02-03,28,18,1,3,9.99,29.97,4,3
385,2020-02-12,19,5,1,3,12.99,38.97,4,3
386,2020-02-25,24,17,1,1,51.99,51.99,4,2
387,2020-02-21,29,18,1,5,7.02,35.1,4,1
388,2020-02-24,7,6,1,2,33.99,67.98,4,2
389,2020-02-09,30,3,1,4,110.98,443.92,4,2
390,2020-02-24,4,3,1,2,98.44,196.88,3,2
391,2020-02-05,9,5,1,4,16.86,67.44,4,3
392,2020-02-15,3,5,2,1,23.99,23.99,2,6
393,2020-02-15,4,6,2,5,13.99,69.95,4,7
394,2020-02-04,26,3,2,3,127.99,383.97,4,7
395,2020-02-11,23,4,2,5,177.99,889.95,4,6
396,2020-02-27,1,20,2,4,29.57,118.28,1,8
397,2020-02-26,4,17,2,1,46.99,46.99,4,5
398,2020-02-13,21,7,2,2,77.47,154.94,1,5
399,2020-02-07,15,19,2,1,35.18,35.18,4,6
400,2020-02-15,30,2,2,3,79.99,239.97,4,8
401,2020-02-06,30,7,3,1,97.99,97.99,4,9
402,2020-02-20,10,5,3,2,19.99,39.98,4,10
403,2020-02-05,21,8,3,1,88.62,88.62,2,11
404,2020-02-26,16,16,3,3,13.5,40.5,4,11
405,2020-02-09,11,4,3,1,278.15,278.15,2,11
406,2020-02-17,19,7,3,5,60.01,300.05,4,9
407,2020-02-27,24,17,3,3,53.12,159.36,4,9
408,2020-02-13,27,7,3,1,114.18,114.18,4,9
409,2020-02-19,23,2,3,5,94.09,470.45,4,10
410,2020-02-26,16,18,3,1,11.99,11.99,4,11
411,2020-02-08,16,1,4,1,1167.48,1167.48,4,12
412,2020-02-06,28,19,4,1,17.69,17.69,4,13
413,2020-02-04,28,18,4,5,11.48,57.4,4,13
414,2020-02-04,11,6,4,5,28.04,140.2,4,12
415,2020-02-16,6,15,4,5,70.61,353.05,4,14
416,2020-02-08,27,15,4,1,72.99,72.99,4,12
417,2020-02-01,19,19,4,4,33.27,133.08,4,13
418,2020-02-11,20,19,4,2,16.6,33.2,4,12
419,2020-02-03,11,5,5,2,28.26,56.52,4,15
420,2020-02-24,15,18,5,1,8.99,8.99,4,15
421,2020-02-04,2,16,5,2,13.99,27.98,4,16
422,2020-02-29,18,7,5,1,101.74,101.74,4,16
423,2020-02-22,15,5,5,3,9.0,27.0,4,15
424,2020-02-04,6,2,5,1,55.0,55.0,4,16
425,2020-02-11,20,13,6,3,73.51,220.53,4,19
426,2020-02-14,4,4,6,1,137.0,137.0,4,19
427,2020-02-24,22,10,6,1,31.99,31.99,4,19
428,2020-02-16,12,4,6,2,157.91,315.82,4,18
429,2020-02-07,7,3,6,2,156.71,313.42,4,18
430,2020-02-26,16,8,6,1,65.99,65.99,4,20
431,2020-02-13,15,7,6,1,99.99,99.99,4,18
432,2020-02-02,23,4,6,1,232.63,232.63,4,20
433,2020-02-25,18,13,6,4,104.47,417.88,4,18
434,2020-02-28,19,19,6,2,15.97,31.94,4,18
435,2020-02-17,17,12,7,3,708.99,2126.97,4,23
436,2020-02-06,6,19,7,3,17.15,51.45,4,21
437,2020-02-14,27,5,7,1,19.99,19.99,4,23
438,2020-02-26,13,2,7,2,74.99,149.98,4,23
439,2020-02-28,23,1,7,2,1267.99,2535.98,4,23
440,2020-02-19,25,13,7,4,83.99,335.96,4,21
441,2020-02-18,29,18,7,1,14.86,14.86,4,22
442,2020-02-06,5,6,8,1,31.99,31.99,4,25
443,2020-02-24,9,9,8,1,174.99,174.99,4,25
444,2020-02-16,22,18,8,5,8.99,44.95,4,24
445,2020-02-25,9,18,8,2,8.07,16.14,4,25
446,2020-02-14,25,16,8,3,15.99,47.97,4,25
447,2020-02-17,25,8,8,1,80.99,80.99,1,24
448,2020-02-15,12,2,8,1,114.88,114.88,4,24
449,2020-02-04,8,15,9,2,55.77,111.54,4,27
450,2020-02-18,6,7,9,3,123.99,371.97,4,27
451,2020-02-06,25,18,9,4,14.77,59.08,4,26
452,2020-02-14,28,10,9,1,65.46,65.46,4,28
453,2020-02-01,20,5,9,3,22.99,68.97,4,27
454,2020-02-28,9,7,9,2,123.49,246.98,4,26
455,2020-02-04,22,1,9,2,1154.99,2309.98,4,27
456,2020-02-16,9,2,9,1,71.15,71.15,4,28
457,2020-02-21,5,6,10,3,32.39,97.17,4,31
458,2020-02-20,11,8,10,1,26.63,26.63,4,31
459,2020-02-14,24,8,10,2,88.66,177.32,4,29
460,2020-02-23,18,5,10,3,27.13,81.39,4,31
461,2020-02-28,22,4,10,1,117.99,117.99,4,31
462,2020-02-26,30,11,10,5,563.86,2819.3,4,29
463,2020-02-08,10,16,10,3,12.99,38.97,4,30
464,2020-02-28,2,3,10,2,152.99,305.98,4,31
465,2020-02-17,22,3,11,2,100.31,200.62,4,33
466,2020-02-07,19,6,11,1,30.99,30.99,2,33
467,2020-02-21,11,20,11,1,21.66,21.66,4,32
468,2020-02-25,26,4,11,1,185.74,185.74,4,32
469,2020-02-16,2,7,11,3,153.51,460.53,4,32
470,2020-02-17,22,4,11,2,148.76,297.52,4,32
471,2020-02-05,17,3,11,1,140.99,140.99,4,33
472,2020-02-24,17,10,12,2,55.99,111.98,4,35
473,2020-02-16,7,7,12,5,150.0,750.0,4,34
474,2020-02-24,7,20,12,2,17.99,35.98,4,34
475,2020-02-02,21,7,12,3,117.54,352.62,1,35
476,2020-02-21,2,18,12,2,11.56,23.12,4,34
477,2020-02-05,22,5,13,1,16.99,16.99,4,38
