Date,Year,Quarter,Quarter (Text),Month,Month Name,Month Short Name,Week of Year,Day
2020-05-29,2020,2,Q2,5,May,May,21,29
2020-05-30,2020,2,Q2,5,May,May,21,30
2020-05-31,2020,2,Q2,5,May,May,21,31
2020-06-01,2020,2,Q2,6,June,Jun,22,1
2020-06-02,2020,2,Q2,6,June,Jun,22,2
2020-06-03,2020,2,Q2,6,June,Jun,22,3
2020-06-04,2020,2,Q2,6,June,Jun,22,4
2020-06-05,2020,2,Q2,6,June,Jun,22,5
2020-06-06,2020,2,Q2,6,June,Jun,22,6
2020-06-07,2020,2,Q2,6,June,Jun,22,7
2020-06-08,2020,2,Q2,6,June,Jun,23,8
2020-06-09,2020,2,Q2,6,June,Jun,23,9
2020-06-10,2020,2,Q2,6,June,Jun,23,10
2020-06-11,2020,2,Q2,6,June,Jun,23,11
2020-06-12,2020,2,Q2,6,June,Jun,23,12
2020-06-13,2020,2,Q2,6,June,Jun,23,13
2020-06-14,2020,2,Q2,6,June,Jun,23,14
2020-06-15,2020,2,Q2,6,June,Jun,24,15
2020-06-16,2020,2,Q2,6,June,Jun,24,16
2020-06-17,2020,2,Q2,6,June,Jun,24,17
2020-06-18,2020,2,Q2,6,June,Jun,24,18
2020-06-19,2020,2,Q2,6,June,Jun,24,19
2020-06-20,2020,2,Q2,6,June,Jun,24,20
2020-06-21,2020,2,Q2,6,June,Jun,24,21
2020-06-22,2020,2,Q2,6,June,Jun,25,22
2020-06-23,2020,2,Q2,6,June,Jun,25,23
2020-06-24,2020,2,Q2,6,June,Jun,25,24
2020-06-25,2020,2,Q2,6,June,Jun,25,25
2020-06-26,2020,2,Q2,6,June,Jun,25,26
2020-06-27,2020,2,Q2,6,June,Jun,25,27
2020-06-28,2020,2,Q2,6,June,Jun,25,28
2020-06-29,2020,2,Q2,6,June,Jun,26,29
2020-06-30,2020,2,Q2,6,June,Jun,26,30
2020-07-01,2020,3,Q3,7,July,Jul,26,1
2020-07-02,2020,3,Q3,7,July,Jul,26,2
2020-07-03,2020,3,Q3,7,July,Jul,26,3
2020-07-04,2020,3,Q3,7,July,Jul,26,4
2020-07-05,2020,3,Q3,7,July,Jul,26,5
2020-07-06,2020,3,Q3,7,July,Jul,27,6
2020-07-07,2020,3,Q3,7,July,Jul,27,7
2020-07-08,2020,3,Q3,7,July,Jul,27,8
2020-07-09,2020,3,Q3,7,July,Jul,27,9
2020-07-10,2020,3,Q3,7,July,Jul,27,10
2020-07-11,2020,3,Q3,7,July,Jul,27,11
2020-07-12,2020,3,Q3,7,July,Jul,27,12
2020-07-13,2020,3,Q3,7,July,Jul,28,13
2020-07-14,2020,3,Q3,7,July,Jul,28,14
2020-07-15,2020,3,Q3,7,July,Jul,28,15
2020-07-16,2020,3,Q3,7,July,Jul,28,16
2020-07-17,2020,3,Q3,7,July,Jul,28,17
2020-07-18,2020,3,Q3,7,July,Jul,28,18
2020-07-19,2020,3,Q3,7,July,Jul,28,19
2020-07-20,2020,3,Q3,7,July,Jul,29,20
2020-07-21,2020,3,Q3,7,July,Jul,29,21
2020-07-22,2020,3,Q3,7,July,Jul,29,22
2020-07-23,2020,3,Q3,7,July,Jul,29,23
2020-07-24,2020,3,Q3,7,July,Jul,29,24
2020-07-25,2020,3,Q3,7,July,Jul,29,25
2020-07-26,2020,3,Q3,7,July,Jul,29,26
2020-07-27,2020,3,Q3,7,July,Jul,30,27
2020-07-28,2020,3,Q3,7,July,Jul,30,28
2020-07-29,2020,3,Q3,7,July,Jul,30,29
2020-07-30,2020,3,Q3,7,July,Jul,30,30
2020-07-31,2020,3,Q3,7,July,Jul,30,31
2020-08-01,2020,3,Q3,8,August,Aug,30,1
2020-08-02,2020,3,Q3,8,August,Aug,30,2
2020-08-03,2020,3,Q3,8,August,Aug,31,3
2020-08-04,2020,3,Q3,8,August,Aug,31,4
2020-08-05,2020,3,Q3,8,August,Aug,31,5
2020-08-06,2020,3,Q3,8,August,Aug,31,6
2020-08-07,2020,3,Q3,8,August,Aug,31,7
2020-08-08,2020,3,Q3,8,August,Aug,31,8
2020-08-09,2020,3,Q3,8,August,Aug,31,9
2020-08-10,2020,3,Q3,8,August,Aug,32,10
2020-08-11,2020,3,Q3,8,August,Aug,32,11
2020-08-12,2020,3,Q3,8,August,Aug,32,12
2020-08-13,2020,3,Q3,8,August,Aug,32,13
2020-08-14,2020,3,Q3,8,August,Aug,32,14
2020-08-15,2020,3,Q3,8,August,Aug,32,15
2020-08-16,2020,3,Q3,8,August,Aug,32,16
2020-08-17,2020,3,Q3,8,August,Aug,33,17
2020-08-18,2020,3,Q3,8,August,Aug,33,18
2020-08-19,2020,3,Q3,8,August,Aug,33,19
2020-08-20,2020,3,Q3,8,August,Aug,33,20
2020-08-21,2020,3,Q3,8,August,Aug,33,21
2020-08-22,2020,3,Q3,8,August,Aug,33,22
2020-08-23,2020,3,Q3,8,August,Aug,33,23
2020-08-24,2020,3,Q3,8,August,Aug,34,24
2020-08-25,2020,3,Q3,8,August,Aug,34,25
2020-08-26,2020,3,Q3,8,August,Aug,34,26
2020-08-27,2020,3,Q3,8,August,Aug,34,27
2020-08-28,2020,3,Q3,8,August,Aug,34,28
2020-08-29,2020,3,Q3,8,August,Aug,34,29
2020-08-30,2020,3,Q3,8,August,Aug,34,30
2020-08-31,2020,3,Q3,8,August,Aug,35,31
2020-09-01,2020,3,Q3,9,September,Sep,35,1
2020-09-02,2020,3,Q3,9,September,Sep,35,2
2020-09-03,2020,3,Q3,9,September,Sep,35,3
2020-09-04,2020,3,Q3,9,September,Sep,35,4
2020-09-05,2020,3,Q3,9,September,Sep,35,5
2020-09-06,2020,3,Q3,9,September,Sep,35,6
2020-09-07,2020,3,Q3,9,September,Sep,36,7
2020-09-08,2020,3,Q3,9,September,Sep,36,8
2020-09-09,2020,3,Q3,9,September,Sep,36,9
2020-09-10,2020,3,Q3,9,September,Sep,36,10
2020-09-11,2020,3,Q3,9,September,Sep,36,11
2020-09-12,2020,3,Q3,9,September,Sep,36,12
2020-09-13,2020,3,Q3,9,September,Sep,36,13
2020-09-14,2020,3,Q3,9,September,Sep,37,14
2020-09-15,2020,3,Q3,9,September,Sep,37,15
2020-09-16,2020,3,Q3,9,September,Sep,37,16
2020-09-17,2020,3,Q3,9,September,Sep,37,17
2020-09-18,2020,3,Q3,9,September,Sep,37,18
2020-09-19,2020,3,Q3,9,September,Sep,37,19
2020-09-20,2020,3,Q3,9,September,Sep,37,20
2020-09-21,2020,3,Q3,9,September,Sep,38,21
2020-09-22,2020,3,Q3,9,September,Sep,38,22
2020-09-23,2020,3,Q3,9,September,Sep,38,23
2020-09-24,2020,3,Q3,9,September,Sep,38,24
2020-09-25,2020,3,Q3,9,September,Sep,38,25
2020-09-26,2020,3,Q3,9,September,Sep,38,26
2020-09-27,2020,3,Q3,9,September,Sep,38,27
2020-09-28,2020,3,Q3,9,September,Sep,39,28
2020-09-29,2020,3,Q3,9,September,Sep,39,29
2020-09-30,2020,3,Q3,9,September,Sep,39,30
2020-10-01,2020,4,Q4,10,October,Oct,39,1
2020-10-02,2020,4,Q4,10,October,Oct,39,2
2020-10-03,2020,4,Q4,10,October,Oct,39,3
2020-10-04,2020,4,Q4,10,October,Oct,39,4
2020-10-05,2020,4,Q4,10,October,Oct,40,5
2020-10-06,2020,4,Q4,10,October,Oct,40,6
2020-10-07,2020,4,Q4,10,October,Oct,40,7
2020-10-08,2020,4,Q4,10,October,Oct,40,8
2020-10-09,2020,4,Q4,10,October,Oct,40,9
2020-10-10,2020,4,Q4,10,October,Oct,40,10
2020-10-11,2020,4,Q4,10,October,Oct,40,11
2020-10-12,2020,4,Q4,10,October,Oct,41,12
2020-10-13,2020,4,Q4,10,October,Oct,41,13
2020-10-14,2020,4,Q4,10,October,Oct,41,14
2020-10-15,2020,4,Q4,10,October,Oct,41,15
2020-10-16,2020,4,Q4,10,October,Oct,41,16
2020-10-17,2020,4,Q4,10,October,Oct,41,17
2020-10-18,2020,4,Q4,10,October,Oct,41,18
2020-10-19,2020,4,Q4,10,October,Oct,42,19
2020-10-20,2020,4,Q4,10,October,Oct,42,20
2020-10-21,2020,4,Q4,10,October,Oct,42,21
2020-10-22,2020,4,Q4,10,October,Oct,42,22
2020-10-23,2020,4,Q4,10,October,Oct,42,23
2020-10-24,2020,4,Q4,10,October,Oct,42,24
2020-10-25,2020,4,Q4,10,October,Oct,42,25
2020-10-26,2020,4,Q4,10,October,Oct,43,26
2020-10-27,2020,4,Q4,10,October,Oct,43,27
2020-10-28,2020,4,Q4,10,October,Oct,43,28
2020-10-29,2020,4,Q4,10,October,Oct,43,29
2020-10-30,2020,4,Q4,10,October,Oct,43,30
2020-10-31,2020,4,Q4,10,October,Oct,43,31
2020-11-01,2020,4,Q4,11,November,Nov,43,1
2020-11-02,2020,4,Q4,11,November,Nov,44,2
2020-11-03,2020,4,Q4,11,November,Nov,44,3
2020-11-04,2020,4,Q4,11,November,Nov,44,4
2020-11-05,2020,4,Q4,11,November,Nov,44,5
2020-11-06,2020,4,Q4,11,November,Nov,44,6
2020-11-07,2020,4,Q4,11,November,Nov,44,7
2020-11-08,2020,4,Q4,11,November,Nov,44,8
2020-11-09,2020,4,Q4,11,November,Nov,45,9
2020-11-10,2020,4,Q4,11,November,Nov,45,10
2020-11-11,2020,4,Q4,11,November,Nov,45,11
2020-11-12,2020,4,Q4,11,November,Nov,45,12
2020-11-13,2020,4,Q4,11,November,Nov,45,13
2020-11-14,2020,4,Q4,11,November,Nov,45,14
2020-11-15,2020,4,Q4,11,November,Nov,45,15
2020-11-16,2020,4,Q4,11,November,Nov,46,16
2020-11-17,2020,4,Q4,11,November,Nov,46,17
2020-11-18,2020,4,Q4,11,November,Nov,46,18
2020-11-19,2020,4,Q4,11,November,Nov,46,19
2020-11-20,2020,4,Q4,11,November,Nov,46,20
2020-11-21,2020,4,Q4,11,November,Nov,46,21
2020-11-22,2020,4,Q4,11,November,Nov,46,22
2020-11-23,2020,4,Q4,11,November,Nov,47,23
2020-11-24,2020,4,Q4,11,November,Nov,47,24
2020-11-25,2020,4,Q4,11,November,Nov,47,25
2020-11-26,2020,4,Q4,11,November,Nov,47,26
2020-11-27,2020,4,Q4,11,November,Nov,47,27
2020-11-28,2020,4,Q4,11,November,Nov,47,28
2020-11-29,2020,4,Q4,11,November,Nov,47,29
2020-11-30,2020,4,Q4,11,November,Nov,48,30
2020-12-01,2020,4,Q4,12,December,Dec,48,1
2020-12-02,2020,4,Q4,12,December,Dec,48,2
2020-12-03,2020,4,Q4,12,December,Dec,48,3
2020-12-04,2020,4,Q4,12,December,Dec,48,4
2020-12-05,2020,4,Q4,12,December,Dec,48,5
2020-12-06,2020,4,Q4,12,December,Dec,48,6
2020-12-07,2020,4,Q4,12,December,Dec,49,7
2020-12-08,2020,4,Q4,12,December,Dec,49,8
2020-12-09,2020,4,Q4,12,December,Dec,49,9
2020-12-10,2020,4,Q4,12,December,Dec,49,10
2020-12-11,2020,4,Q4,12,December,Dec,49,11
2020-12-12,2020,4,Q4,12,December,Dec,49,12
2020-12-13,2020,4,Q4,12,December,Dec,49,13
2020-12-14,2020,4,Q4,12,December,Dec,50,14
2020-12-15,2020,4,Q4,12,December,Dec,50,15
2020-12-16,2020,4,Q4,12,December,Dec,50,16
2020-12-17,2020,4,Q4,12,December,Dec,50,17
2020-12-18,2020,4,Q4,12,December,Dec,50,18
2020-12-19,2020,4,Q4,12,December,Dec,50,19
2020-12-20,2020,4,Q4,12,December,Dec,50,20
2020-12-21,2020,4,Q4,12,December,Dec,51,21
2020-12-22,2020,4,Q4,12,December,Dec,51,22
2020-12-23,2020,4,Q4,12,December,Dec,51,23
2020-12-24,2020,4,Q4,12,December,Dec,51,24
2020-12-25,2020,4,Q4,12,December,Dec,51,25
2020-12-26,2020,4,Q4,12,December,Dec,51,26
2020-12-27,2020,4,Q4,12,December,Dec,51,27
2020-12-28,2020,4,Q4,12,December,Dec,52,28
2020-12-29,2020,4,Q4,12,December,Dec,52,29
2020-12-30,2020,4,Q4,12,December,Dec,52,30
2020-12-31,2020,4,Q4,12,December,Dec,52,31
2021-01-01,2021,1,Q1,1,January,Jan,0,1
2021-01-02,2021,1,Q1,1,January,Jan,0,2
2021-01-03,2021,1,Q1,1,January,Jan,0,3
2021-01-04,2021,1,Q1,1,January,Jan,1,4
2021-01-05,2021,1,Q1,1,January,Jan,1,5
2021-01-06,2021,1,Q1,1,January,Jan,1,6
2021-01-07,2021,1,Q1,1,January,Jan,1,7
2021-01-08,2021,1,Q1,1,January,Jan,1,8
2021-01-09,2021,1,Q1,1,January,Jan,1,9
2021-01-10,2021,1,Q1,1,January,Jan,1,10
2021-01-11,2021,1,Q1,1,January,Jan,2,11
2021-01-12,2021,1,Q1,1,January,Jan,2,12
2021-01-13,2021,1,Q1,1,January,Jan,2,13
2021-01-14,2021,1,Q1,1,January,Jan,2,14
2021-01-15,2021,1,Q1,1,January,Jan,2,15
2021-01-16,2021,1,Q1,1,January,Jan,2,16
2021-01-17,2021,1,Q1,1,January,Jan,2,17
2021-01-18,2021,1,Q1,1,January,Jan,3,18
2021-01-19,2021,1,Q1,1,January,Jan,3,19
2021-01-20,2021,1,Q1,1,January,Jan,3,20
2021-01-21,2021,1,Q1,1,January,Jan,3,21
2021-01-22,2021,1,Q1,1,January,Jan,3,22
2021-01-23,2021,1,Q1,1,January,Jan,3,23
2021-01-24,2021,1,Q1,1,January,Jan,3,24
2021-01-25,2021,1,Q1,1,January,Jan,4,25
2021-01-26,2021,1,Q1,1,January,Jan,4,26
2021-01-27,2021,1,Q1,1,January,Jan,4,27
2021-01-28,2021,1,Q1,1,January,Jan,4,28
2021-01-29,2021,1,Q1,1,January,Jan,4,29
2021-01-30,2021,1,Q1,1,January,Jan,4,30
2021-01-31,2021,1,Q1,1,January,Jan,4,31
2021-02-01,2021,1,Q1,2,February,Feb,5,1
2021-02-02,2021,1,Q1,2,February,Feb,5,2
2021-02-03,2021,1,Q1,2,February,Feb,5,3
2021-02-04,2021,1,Q1,2,February,Feb,5,4
2021-02-05,2021,1,Q1,2,February,Feb,5,5
2021-02-06,2021,1,Q1,2,February,Feb,5,6
2021-02-07,2021,1,Q1,2,February,Feb,5,7
2021-02-08,2021,1,Q1,2,February,Feb,6,8
2021-02-09,2021,1,Q1,2,February,Feb,6,9
2021-02-10,2021,1,Q1,2,February,Feb,6,10
2021-02-11,2021,1,Q1,2,February,Feb,6,11
2021-02-12,2021,1,Q1,2,February,Feb,6,12
2021-02-13,2021,1,Q1,2,February,Feb,6,13
2021-02-14,2021,1,Q1,2,February,Feb,6,14
2021-02-15,2021,1,Q1,2,February,Feb,7,15
2021-02-16,2021,1,Q1,2,February,Feb,7,16
2021-02-17,2021,1,Q1,2,February,Feb,7,17
2021-02-18,2021,1,Q1,2,February,Feb,7,18
2021-02-19,2021,1,Q1,2,February,Feb,7,19
2021-02-20,2021,1,Q1,2,February,Feb,7,20
2021-02-21,2021,1,Q1,2,February,Feb,7,21
2021-02-22,2021,1,Q1,2,February,Feb,8,22
2021-02-23,2021,1,Q1,2,February,Feb,8,23
2021-02-24,2021,1,Q1,2,February,Feb,8,24
2021-02-25,2021,1,Q1,2,February,Feb,8,25
2021-02-26,2021,1,Q1,2,February,Feb,8,26
2021-02-27,2021,1,Q1,2,February,Feb,8,27
2021-02-28,2021,1,Q1,2,February,Feb,8,28
2021-03-01,2021,1,Q1,3,March,Mar,9,1
2021-03-02,2021,1,Q1,3,March,Mar,9,2
2021-03-03,2021,1,Q1,3,March,Mar,9,3
2021-03-04,2021,1,Q1,3,March,Mar,9,4
2021-03-05,2021,1,Q1,3,March,Mar,9,5
2021-03-06,2021,1,Q1,3,March,Mar,9,6
2021-03-07,2021,1,Q1,3,March,Mar,9,7
2021-03-08,2021,1,Q1,3,March,Mar,10,8
2021-03-09,2021,1,Q1,3,March,Mar,10,9
2021-03-10,2021,1,Q1,3,March,Mar,10,10
2021-03-11,2021,1,Q1,3,March,Mar,10,11
2021-03-12,2021,1,Q1,3,March,Mar,10,12
2021-03-13,2021,1,Q1,3,March,Mar,10,13
2021-03-14,2021,1,Q1,3,March,Mar,10,14
2021-03-15,2021,1,Q1,3,March,Mar,11,15
2021-03-16,2021,1,Q1,3,March,Mar,11,16
2021-03-17,2021,1,Q1,3,March,Mar,11,17
2021-03-18,2021,1,Q1,3,March,Mar,11,18
2021-03-19,2021,1,Q1,3,March,Mar,11,19
2021-03-20,2021,1,Q1,3,March,Mar,11,20
2021-03-21,2021,1,Q1,3,March,Mar,11,21
2021-03-22,2021,1,Q1,3,March,Mar,12,22
2021-03-23,2021,1,Q1,3,March,Mar,12,23
2021-03-24,2021,1,Q1,3,March,Mar,12,24
2021-03-25,2021,1,Q1,3,March,Mar,12,25
2021-03-26,2021,1,Q1,3,March,Mar,12,26
2021-03-27,2021,1,Q1,3,March,Mar,12,27
2021-03-28,2021,1,Q1,3,March,Mar,12,28
2021-03-29,2021,1,Q1,3,March,Mar,13,29
2021-03-30,2021,1,Q1,3,March,Mar,13,30
2021-03-31,2021,1,Q1,3,March,Mar,13,31
2021-04-01,2021,2,Q2,4,April,Apr,13,1
2021-04-02,2021,2,Q2,4,April,Apr,13,2
2021-04-03,2021,2,Q2,4,April,Apr,13,3
2021-04-04,2021,2,Q2,4,April,Apr,13,4
2021-04-05,2021,2,Q2,4,April,Apr,14,5
2021-04-06,2021,2,Q2,4,April,Apr,14,6
2021-04-07,2021,2,Q2,4,April,Apr,14,7
2021-04-08,2021,2,Q2,4,April,Apr,14,8
2021-04-09,2021,2,Q2,4,April,Apr,14,9
2021-04-10,2021,2,Q2,4,April,Apr,14,10
2021-04-11,2021,2,Q2,4,April,Apr,14,11
2021-04-12,2021,2,Q2,4,April,Apr,15,12
2021-04-13,2021,2,Q2,4,April,Apr,15,13
2021-04-14,2021,2,Q2,4,April,Apr,15,14
2021-04-15,2021,2,Q2,4,April,Apr,15,15
2021-04-16,2021,2,Q2,4,April,Apr,15,16
2021-04-17,2021,2,Q2,4,April,Apr,15,17
2021-04-18,2021,2,Q2,4,April,Apr,15,18
2021-04-19,2021,2,Q2,4,April,Apr,16,19
2021-04-20,2021,2,Q2,4,April,Apr,16,20
2021-04-21,2021,2,Q2,4,April,Apr,16,21
2021-04-22,2021,2,Q2,4,April,Apr,16,22
2021-04-23,2021,2,Q2,4,April,Apr,16,23
2021-04-24,2021,2,Q2,4,April,Apr,16,24
2021-04-25,2021,2,Q2,4,April,Apr,16,25
2021-04-26,2021,2,Q2,4,April,Apr,17,26
2021-04-27,2021,2,Q2,4,April,Apr,17,27
2021-04-28,2021,2,Q2,4,April,Apr,17,28
2021-04-29,2021,2,Q2,4,April,Apr,17,29
2021-04-30,2021,2,Q2,4,April,Apr,17,30
2021-05-01,2021,2,Q2,5,May,May,17,1
2021-05-02,2021,2,Q2,5,May,May,17,2
2021-05-03,2021,2,Q2,5,May,May,18,3
2021-05-04,2021,2,Q2,5,May,May,18,4
2021-05-05,2021,2,Q2,5,May,May,18,5
2021-05-06,2021,2,Q2,5,May,May,18,6
2021-05-07,2021,2,Q2,5,May,May,18,7
2021-05-08,2021,2,Q2,5,May,May,18,8
2021-05-09,2021,2,Q2,5,May,May,18,9
2021-05-10,2021,2,Q2,5,May,May,19,10
2021-05-11,2021,2,Q2,5,May,May,19,11
2021-05-12,2021,2,Q2,5,May,May,19,12
2021-05-13,2021,2,Q2,5,May,May,19,13
2021-05-14,2021,2,Q2,5,May,May,19,14
